support,itemsets,item_count
0.678391959798995,Hip-Hop,1
0.678391959798995,Unknown,1
0.6432160804020101,Blues,1
0.6432160804020101,Old-Time / Historic,1
0.6432160804020101,Rock,1
0.6381909547738693,Country,1
0.628140703517588,Experimental,1
0.628140703517588,Pop,1
0.628140703517588,Spoken,1
0.6030150753768844,Folk,1
0.6030150753768844,Jazz,1
0.5979899497487438,Classical,1
0.5979899497487438,Soul-RnB,1
0.5879396984924623,Electronic,1
0.5829145728643216,Easy Listening,1
0.5829145728643216,Instrumental,1
0.5829145728643216,International,1
0.4723618090452261,"Hip-Hop, Unknown",2
0.4623115577889447,"Blues, Unknown",2
0.44221105527638194,"Blues, Hip-Hop",2
0.44221105527638194,"Blues, Old-Time / Historic",2
0.44221105527638194,"Hip-Hop, Rock",2
0.4371859296482412,"Experimental, Hip-Hop",2
0.4371859296482412,"Old-Time / Historic, Unknown",2
0.4321608040201005,"Blues, Country",2
0.4321608040201005,"Country, Rock",2
0.4321608040201005,"Old-Time / Historic, Pop",2
0.4321608040201005,"Pop, Unknown",2
0.4321608040201005,"Spoken, Unknown",2
0.4271356783919598,"Experimental, Unknown",2
0.4271356783919598,"Hip-Hop, International",2
0.4271356783919598,"Hip-Hop, Pop",2
0.4271356783919598,"Old-Time / Historic, Spoken",2
0.4221105527638191,"Hip-Hop, Old-Time / Historic",2
0.4221105527638191,"Hip-Hop, Soul-RnB",2
0.41708542713567837,"Blues, Spoken",2
0.41708542713567837,"Classical, Hip-Hop",2
0.41708542713567837,"Country, Unknown",2
0.41708542713567837,"Experimental, Old-Time / Historic",2
0.41708542713567837,"Experimental, Rock",2
0.41708542713567837,"Hip-Hop, Jazz",2
0.41708542713567837,"Rock, Spoken",2
0.41708542713567837,"Rock, Unknown",2
0.4120603015075377,"Blues, Pop",2
0.4120603015075377,"Country, Hip-Hop",2
0.4120603015075377,"Easy Listening, Hip-Hop",2
0.4120603015075377,"Electronic, Experimental",2
0.4120603015075377,"Hip-Hop, Instrumental",2
0.4120603015075377,"Old-Time / Historic, Rock",2
0.40703517587939697,"Blues, Rock",2
0.40703517587939697,"Country, Experimental",2
0.40703517587939697,"Electronic, Spoken",2
0.40703517587939697,"Folk, Hip-Hop",2
0.40703517587939697,"Hip-Hop, Spoken",2
0.40703517587939697,"Pop, Spoken",2
0.4020100502512563,"Country, Old-Time / Historic",2
0.4020100502512563,"Pop, Rock",2
0.3969849246231156,"Blues, Experimental",2
0.3969849246231156,"Blues, Jazz",2
0.3969849246231156,"Classical, Old-Time / Historic",2
0.3969849246231156,"Classical, Unknown",2
0.3969849246231156,"Country, Spoken",2
0.3969849246231156,"Electronic, Hip-Hop",2
0.3969849246231156,"Experimental, Spoken",2
0.3969849246231156,"International, Unknown",2
0.3969849246231156,"Jazz, Old-Time / Historic",2
0.3969849246231156,"Jazz, Spoken",2
0.3969849246231156,"Jazz, Unknown",2
0.39195979899497485,"Blues, Electronic",2
0.39195979899497485,"Country, Jazz",2
0.39195979899497485,"Easy Listening, Spoken",2
0.39195979899497485,"Electronic, Unknown",2
0.39195979899497485,"Soul-RnB, Unknown",2
0.3869346733668342,"Classical, Rock",2
0.3869346733668342,"Country, Soul-RnB",2
0.3869346733668342,"Experimental, Jazz",2
0.3869346733668342,"Experimental, Pop",2
0.3869346733668342,"Folk, Spoken",2
0.3869346733668342,"Instrumental, Old-Time / Historic",2
0.3869346733668342,"Instrumental, Unknown",2
0.3869346733668342,"Jazz, Rock",2
0.38190954773869346,"Blues, Folk",2
0.38190954773869346,"Classical, Soul-RnB",2
0.38190954773869346,"Country, Easy Listening",2
0.38190954773869346,"Easy Listening, Rock",2
0.38190954773869346,"Easy Listening, Unknown",2
0.38190954773869346,"Electronic, Pop",2
0.38190954773869346,"Experimental, International",2
0.38190954773869346,"Folk, Jazz",2
0.38190954773869346,"Folk, Old-Time / Historic",2
0.38190954773869346,"Instrumental, Soul-RnB",2
0.38190954773869346,"International, Rock",2
0.3768844221105528,"Classical, Spoken",2
0.3768844221105528,"Country, Electronic",2
0.3768844221105528,"Country, Folk",2
0.3768844221105528,"Country, International",2
0.3768844221105528,"Easy Listening, Old-Time / Historic",2
0.3768844221105528,"Instrumental, Rock",2
0.3768844221105528,"Old-Time / Historic, Soul-RnB",2
0.37185929648241206,"Blues, Easy Listening",2
0.37185929648241206,"Classical, Easy Listening",2
0.37185929648241206,"Experimental, Instrumental",2
0.37185929648241206,"Folk, Rock",2
0.37185929648241206,"Folk, Unknown",2
0.37185929648241206,"Instrumental, International",2
0.37185929648241206,"Instrumental, Pop",2
0.37185929648241206,"International, Spoken",2
0.37185929648241206,"Jazz, Pop",2
0.37185929648241206,"Jazz, Soul-RnB",2
0.36683417085427134,"Classical, Folk",2
0.36683417085427134,"Classical, Jazz",2
0.36683417085427134,"Country, Pop",2
0.36683417085427134,"Easy Listening, Experimental",2
0.36683417085427134,"Electronic, Rock",2
0.36683417085427134,"Experimental, Folk",2
0.36683417085427134,"Experimental, Soul-RnB",2
0.36683417085427134,"Folk, Pop",2
0.36683417085427134,"Folk, Soul-RnB",2
0.36683417085427134,"International, Soul-RnB",2
0.36683417085427134,"Rock, Soul-RnB",2
0.36683417085427134,"Soul-RnB, Spoken",2
0.36180904522613067,"Blues, International",2
0.36180904522613067,"Classical, Experimental",2
0.36180904522613067,"Folk, Instrumental",2
0.36180904522613067,"Instrumental, Spoken",2
0.36180904522613067,"International, Pop",2
0.35678391959798994,"Classical, Country",2
0.35678391959798994,"Country, Instrumental",2
0.35678391959798994,"Easy Listening, Folk",2
0.35678391959798994,"Easy Listening, Pop",2
0.35678391959798994,"Electronic, Old-Time / Historic",2
0.35175879396984927,"Blues, Soul-RnB",2
0.35175879396984927,"Classical, Electronic",2
0.35175879396984927,"International, Old-Time / Historic",2
0.35175879396984927,"Pop, Soul-RnB",2
0.34673366834170855,"Easy Listening, Jazz",2
0.34673366834170855,"Electronic, Folk",2
0.34673366834170855,"Electronic, International",2
0.34673366834170855,"Instrumental, Jazz",2
0.3417085427135678,"Blues, Classical",2
0.3417085427135678,"Blues, Instrumental",2
0.3417085427135678,"Classical, Instrumental",2
0.3417085427135678,"Classical, Pop",2
0.3417085427135678,"Easy Listening, Soul-RnB",2
0.3417085427135678,"Electronic, Instrumental",2
0.3417085427135678,"Electronic, Jazz",2
0.33668341708542715,"Classical, International",2
0.33668341708542715,"Electronic, Soul-RnB",2
0.33668341708542715,"Folk, International",2
0.3316582914572864,"Easy Listening, Instrumental",2
0.3316582914572864,"Easy Listening, International",2
0.3316582914572864,"International, Jazz",2
0.3165829145728643,"Easy Listening, Electronic",2
0.3165829145728643,"Blues, Hip-Hop, Unknown",3
0.3165829145728643,"Blues, Old-Time / Historic, Unknown",3
0.31155778894472363,"Blues, Pop, Unknown",3
0.3065326633165829,"Blues, Country, Unknown",3
0.3065326633165829,"Blues, Spoken, Unknown",3
0.3065326633165829,"Hip-Hop, Pop, Unknown",3
0.3015075376884422,"Blues, Hip-Hop, Old-Time / Historic",3
0.3015075376884422,"Blues, Old-Time / Historic, Pop",3
0.3015075376884422,"Experimental, Hip-Hop, Rock",3
0.3015075376884422,"Hip-Hop, International, Unknown",3
0.3015075376884422,"Hip-Hop, Rock, Unknown",3
0.2964824120603015,"Blues, Country, Hip-Hop",3
0.2964824120603015,"Classical, Hip-Hop, Unknown",3
0.2964824120603015,"Electronic, Experimental, Spoken",3
0.2964824120603015,"Experimental, Hip-Hop, Unknown",3
0.2964824120603015,"Hip-Hop, Old-Time / Historic, Pop",3
0.2964824120603015,"Hip-Hop, Spoken, Unknown",3
0.2964824120603015,"Old-Time / Historic, Pop, Spoken",3
0.2964824120603015,"Old-Time / Historic, Pop, Unknown",3
0.2914572864321608,"Blues, Hip-Hop, Rock",3
0.2914572864321608,"Blues, Old-Time / Historic, Spoken",3
0.2914572864321608,"Country, Experimental, Rock",3
